DATA;TIME_MANDANTE;TIME_VISITANTE;VENCEDOR;PLACAR;RENDA;PUBLICO
21/11/2018;atletico-pr;corinthians;atletico-pr;1,0;R$ 422.925,00;14390
21/11/2018;palmeiras;america-mg;palmeiras;4,0;R$ 2.615.582,46;39429
22/11/2018;vasco;sao-paulo;vasco;2,0;R$ 354.345,00;14426
22/11/2018;chapecoense;sport;chapecoense;2,1;R$ 187.190,00;11740
22/11/2018;bahia;fluminense;bahia;2,0;R$ 306.198,00;16437
22/11/2018;ceara;parana-clube;ceara;1,0;R$ 541.183,00;48077
24/11/2018;santos;atletico-mg;santos;3,2;R$ 89.946,50;4591
25/11/2018;cruzeiro;flamengo;flamengo;0,2;R$ 343.624,00;17445
25/11/2018;vasco;palmeiras;palmeiras;0,1;R$ 596.810,00;21066
25/11/2018;atletico-pr;ceara;empate;2,2;R$ 191.850,00;9632
25/11/2018;vitoria;gremio;empate;0,0;R$ 18.835,00;3614
25/11/2018;america-mg;bahia;america-mg;1,0;R$ 19.635,00;3747
25/11/2018;corinthians;chapecoense;empate;0,0;R$ 1.219.472,00;35888
25/11/2018;internacional;fluminense;internacional;2,0;R$ 656.330,00;27535
26/11/2018;sao-paulo;sport;empate;0,0;R$ 454.321,00;15235
26/11/2018;botafogo;parana-clube;botafogo;2,1;R$ 301.970,00;27480
01/12/2018;flamengo;atletico-pr;atletico-pr;1,2;R$ 697.255,00;62994
01/12/2018;atletico-mg;botafogo;atletico-mg;1,0;R$ 313.452,00;19171
02/12/2018;parana-clube;internacional;empate;1,1;R$ 88.495,00;2228
02/12/2018;chapecoense;sao-paulo;chapecoense;1,0;R$ 331.630,00;19226
02/12/2018;bahia;cruzeiro;empate;0,0;R$ 338.691,00;27776
02/12/2018;fluminense;america-mg;fluminense;1,0;R$ 139.932,50;34870
02/12/2018;ceara;vasco;empate;0,0;R$ 1.128.494,00;57223
02/12/2018;palmeiras;vitoria;palmeiras;3,2;R$ 3.514.618,30;41256
02/12/2018;gremio;corinthians;gremio;1,0;R$ 1.450.578,00;38974
02/12/2018;sport;santos;sport;2,1;R$ 225.305,00;15214
